"name"	"description"	"page"
"osinensis_homolog_perc_id"	"%id. target Chinese medaka gene identical to query gene"	"homologs"
"osinensis_homolog_perc_id_r1"	"%id. query gene identical to target Chinese medaka gene"	"homologs"
"osinensis_homolog_goc_score"	"Chinese medaka Gene-order conservation score"	"homologs"
"osinensis_homolog_orthology_confidence"	"Chinese medaka orthology confidence [0 low, 1 high]"	"homologs"
"psinensis_homolog_ensembl_gene"	"Chinese softshell turtle gene stable ID"	"homologs"
"psinensis_homolog_associated_gene_name"	"Chinese softshell turtle gene name"	"homologs"
"psinensis_homolog_ensembl_peptide"	"Chinese softshell turtle protein or transcript stable ID"	"homologs"
"psinensis_homolog_chromosome"	"Chinese softshell turtle chromosome/scaffold name"	"homologs"
"psinensis_homolog_chrom_start"	"Chinese softshell turtle chromosome/scaffold start (bp)"	"homologs"
"psinensis_homolog_chrom_end"	"Chinese softshell turtle chromosome/scaffold end (bp)"	"homologs"
"psinensis_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"psinensis_homolog_subtype"	"Last common ancestor with Chinese softshell turtle"	"homologs"
"psinensis_homolog_orthology_type"	"Chinese softshell turtle homology type"	"homologs"
"psinensis_homolog_perc_id"	"%id. target Chinese softshell turtle gene identical to query gene"	"homologs"
"psinensis_homolog_perc_id_r1"	"%id. query gene identical to target Chinese softshell turtle gene"	"homologs"
"psinensis_homolog_goc_score"	"Chinese softshell turtle Gene-order conservation score"	"homologs"
"psinensis_homolog_orthology_confidence"	"Chinese softshell turtle orthology confidence [0 low, 1 high]"	"homologs"
"otshawytscha_homolog_ensembl_gene"	"Chinook salmon gene stable ID"	"homologs"
"otshawytscha_homolog_associated_gene_name"	"Chinook salmon gene name"	"homologs"
"otshawytscha_homolog_ensembl_peptide"	"Chinook salmon protein or transcript stable ID"	"homologs"
"otshawytscha_homolog_chromosome"	"Chinook salmon chromosome/scaffold name"	"homologs"
"otshawytscha_homolog_chrom_start"	"Chinook salmon chromosome/scaffold start (bp)"	"homologs"
"otshawytscha_homolog_chrom_end"	"Chinook salmon chromosome/scaffold end (bp)"	"homologs"
"otshawytscha_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"otshawytscha_homolog_subtype"	"Last common ancestor with Chinook salmon"	"homologs"
"otshawytscha_homolog_orthology_type"	"Chinook salmon homology type"	"homologs"
"otshawytscha_homolog_perc_id"	"%id. target Chinook salmon gene identical to query gene"	"homologs"
"otshawytscha_homolog_perc_id_r1"	"%id. query gene identical to target Chinook salmon gene"	"homologs"
"otshawytscha_homolog_goc_score"	"Chinook salmon Gene-order conservation score"	"homologs"
"otshawytscha_homolog_orthology_confidence"	"Chinook salmon orthology confidence [0 low, 1 high]"	"homologs"
"atestudineus_homolog_ensembl_gene"	"Climbing perch gene stable ID"	"homologs"
"atestudineus_homolog_associated_gene_name"	"Climbing perch gene name"	"homologs"
"atestudineus_homolog_ensembl_peptide"	"Climbing perch protein or transcript stable ID"	"homologs"
"atestudineus_homolog_chromosome"	"Climbing perch chromosome/scaffold name"	"homologs"
"atestudineus_homolog_chrom_start"	"Climbing perch chromosome/scaffold start (bp)"	"homologs"
"atestudineus_homolog_chrom_end"	"Climbing perch chromosome/scaffold end (bp)"	"homologs"
"atestudineus_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"atestudineus_homolog_subtype"	"Last common ancestor with Climbing perch"	"homologs"
"atestudineus_homolog_orthology_type"	"Climbing perch homology type"	"homologs"
"atestudineus_homolog_perc_id"	"%id. target Climbing perch gene identical to query gene"	"homologs"
"atestudineus_homolog_perc_id_r1"	"%id. query gene identical to target Climbing perch gene"	"homologs"
"atestudineus_homolog_goc_score"	"Climbing perch Gene-order conservation score"	"homologs"
"atestudineus_homolog_orthology_confidence"	"Climbing perch orthology confidence [0 low, 1 high]"	"homologs"
"aocellaris_homolog_ensembl_gene"	"Clown anemonefish gene stable ID"	"homologs"
"aocellaris_homolog_associated_gene_name"	"Clown anemonefish gene name"	"homologs"
"aocellaris_homolog_ensembl_peptide"	"Clown anemonefish protein or transcript stable ID"	"homologs"
"aocellaris_homolog_chromosome"	"Clown anemonefish chromosome/scaffold name"	"homologs"
"aocellaris_homolog_chrom_start"	"Clown anemonefish chromosome/scaffold start (bp)"	"homologs"
"aocellaris_homolog_chrom_end"	"Clown anemonefish chromosome/scaffold end (bp)"	"homologs"
"aocellaris_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"aocellaris_homolog_subtype"	"Last common ancestor with Clown anemonefish"	"homologs"
"aocellaris_homolog_orthology_type"	"Clown anemonefish homology type"	"homologs"
"aocellaris_homolog_perc_id"	"%id. target Clown anemonefish gene identical to query gene"	"homologs"
"aocellaris_homolog_perc_id_r1"	"%id. query gene identical to target Clown anemonefish gene"	"homologs"
"aocellaris_homolog_goc_score"	"Clown anemonefish Gene-order conservation score"	"homologs"
"aocellaris_homolog_orthology_confidence"	"Clown anemonefish orthology confidence [0 low, 1 high]"	"homologs"
"lchalumnae_homolog_ensembl_gene"	"Coelacanth gene stable ID"	"homologs"
"lchalumnae_homolog_associated_gene_name"	"Coelacanth gene name"	"homologs"
"lchalumnae_homolog_ensembl_peptide"	"Coelacanth protein or transcript stable ID"	"homologs"
"lchalumnae_homolog_chromosome"	"Coelacanth chromosome/scaffold name"	"homologs"
"lchalumnae_homolog_chrom_start"	"Coelacanth chromosome/scaffold start (bp)"	"homologs"
"lchalumnae_homolog_chrom_end"	"Coelacanth chromosome/scaffold end (bp)"	"homologs"
"lchalumnae_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"lchalumnae_homolog_subtype"	"Last common ancestor with Coelacanth"	"homologs"
"lchalumnae_homolog_orthology_type"	"Coelacanth homology type"	"homologs"
"lchalumnae_homolog_perc_id"	"%id. target Coelacanth gene identical to query gene"	"homologs"
"lchalumnae_homolog_perc_id_r1"	"%id. query gene identical to target Coelacanth gene"	"homologs"
"lchalumnae_homolog_goc_score"	"Coelacanth Gene-order conservation score"	"homologs"
"lchalumnae_homolog_orthology_confidence"	"Coelacanth orthology confidence [0 low, 1 high]"	"homologs"
"okisutch_homolog_ensembl_gene"	"Coho salmon gene stable ID"	"homologs"
"okisutch_homolog_associated_gene_name"	"Coho salmon gene name"	"homologs"
"okisutch_homolog_ensembl_peptide"	"Coho salmon protein or transcript stable ID"	"homologs"
"okisutch_homolog_chromosome"	"Coho salmon chromosome/scaffold name"	"homologs"
"okisutch_homolog_chrom_start"	"Coho salmon chromosome/scaffold start (bp)"	"homologs"
"okisutch_homolog_chrom_end"	"Coho salmon chromosome/scaffold end (bp)"	"homologs"
"okisutch_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"okisutch_homolog_subtype"	"Last common ancestor with Coho salmon"	"homologs"
"okisutch_homolog_orthology_type"	"Coho salmon homology type"	"homologs"
"okisutch_homolog_perc_id"	"%id. target Coho salmon gene identical to query gene"	"homologs"
"okisutch_homolog_perc_id_r1"	"%id. query gene identical to target Coho salmon gene"	"homologs"
"okisutch_homolog_goc_score"	"Coho salmon Gene-order conservation score"	"homologs"
"okisutch_homolog_orthology_confidence"	"Coho salmon orthology confidence [0 low, 1 high]"	"homologs"
"falbicollis_homolog_ensembl_gene"	"Collared flycatcher gene stable ID"	"homologs"
"falbicollis_homolog_associated_gene_name"	"Collared flycatcher gene name"	"homologs"
"falbicollis_homolog_ensembl_peptide"	"Collared flycatcher protein or transcript stable ID"	"homologs"
"falbicollis_homolog_chromosome"	"Collared flycatcher chromosome/scaffold name"	"homologs"
"falbicollis_homolog_chrom_start"	"Collared flycatcher chromosome/scaffold start (bp)"	"homologs"
"falbicollis_homolog_chrom_end"	"Collared flycatcher chromosome/scaffold end (bp)"	"homologs"
"falbicollis_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"falbicollis_homolog_subtype"	"Last common ancestor with Collared flycatcher"	"homologs"
"falbicollis_homolog_orthology_type"	"Collared flycatcher homology type"	"homologs"
"falbicollis_homolog_perc_id"	"%id. target Collared flycatcher gene identical to query gene"	"homologs"
"falbicollis_homolog_perc_id_r1"	"%id. query gene identical to target Collared flycatcher gene"	"homologs"
"falbicollis_homolog_goc_score"	"Collared flycatcher Gene-order conservation score"	"homologs"
"falbicollis_homolog_orthology_confidence"	"Collared flycatcher orthology confidence [0 low, 1 high]"	"homologs"
"scanaria_homolog_ensembl_gene"	"Common canary gene stable ID"	"homologs"
"scanaria_homolog_associated_gene_name"	"Common canary gene name"	"homologs"
"scanaria_homolog_ensembl_peptide"	"Common canary protein or transcript stable ID"	"homologs"
"scanaria_homolog_chromosome"	"Common canary chromosome/scaffold name"	"homologs"
"scanaria_homolog_chrom_start"	"Common canary chromosome/scaffold start (bp)"	"homologs"
"scanaria_homolog_chrom_end"	"Common canary chromosome/scaffold end (bp)"	"homologs"
"scanaria_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"scanaria_homolog_subtype"	"Last common ancestor with Common canary"	"homologs"
"scanaria_homolog_orthology_type"	"Common canary homology type"	"homologs"
"scanaria_homolog_perc_id"	"%id. target Common canary gene identical to query gene"	"homologs"
"scanaria_homolog_perc_id_r1"	"%id. query gene identical to target Common canary gene"	"homologs"
"scanaria_homolog_goc_score"	"Common canary Gene-order conservation score"	"homologs"
"scanaria_homolog_orthology_confidence"	"Common canary orthology confidence [0 low, 1 high]"	"homologs"
"cccarpio_homolog_ensembl_gene"	"Common carp gene stable ID"	"homologs"
"cccarpio_homolog_associated_gene_name"	"Common carp gene name"	"homologs"
"cccarpio_homolog_ensembl_peptide"	"Common carp protein or transcript stable ID"	"homologs"
"cccarpio_homolog_chromosome"	"Common carp chromosome/scaffold name"	"homologs"
"cccarpio_homolog_chrom_start"	"Common carp chromosome/scaffold start (bp)"	"homologs"
"cccarpio_homolog_chrom_end"	"Common carp chromosome/scaffold end (bp)"	"homologs"
"cccarpio_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"cccarpio_homolog_subtype"	"Last common ancestor with Common carp"	"homologs"
"cccarpio_homolog_orthology_type"	"Common carp homology type"	"homologs"
"cccarpio_homolog_perc_id"	"%id. target Common carp gene identical to query gene"	"homologs"
"cccarpio_homolog_perc_id_r1"	"%id. query gene identical to target Common carp gene"	"homologs"
"cccarpio_homolog_goc_score"	"Common carp Gene-order conservation score"	"homologs"
"cccarpio_homolog_orthology_confidence"	"Common carp orthology confidence [0 low, 1 high]"	"homologs"
"pmuralis_homolog_ensembl_gene"	"Common wall lizard gene stable ID"	"homologs"
"pmuralis_homolog_associated_gene_name"	"Common wall lizard gene name"	"homologs"
"pmuralis_homolog_ensembl_peptide"	"Common wall lizard protein or transcript stable ID"	"homologs"
"pmuralis_homolog_chromosome"	"Common wall lizard chromosome/scaffold name"	"homologs"
"pmuralis_homolog_chrom_start"	"Common wall lizard chromosome/scaffold start (bp)"	"homologs"
"pmuralis_homolog_chrom_end"	"Common wall lizard chromosome/scaffold end (bp)"	"homologs"
"pmuralis_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"pmuralis_homolog_subtype"	"Last common ancestor with Common wall lizard"	"homologs"
"pmuralis_homolog_orthology_type"	"Common wall lizard homology type"	"homologs"
"pmuralis_homolog_perc_id"	"%id. target Common wall lizard gene identical to query gene"	"homologs"
"pmuralis_homolog_perc_id_r1"	"%id. query gene identical to target Common wall lizard gene"	"homologs"
"pmuralis_homolog_goc_score"	"Common wall lizard Gene-order conservation score"	"homologs"
"pmuralis_homolog_orthology_confidence"	"Common wall lizard orthology confidence [0 low, 1 high]"	"homologs"
"vursinus_homolog_ensembl_gene"	"Common wombat gene stable ID"	"homologs"
"vursinus_homolog_associated_gene_name"	"Common wombat gene name"	"homologs"
"vursinus_homolog_ensembl_peptide"	"Common wombat protein or transcript stable ID"	"homologs"
"vursinus_homolog_chromosome"	"Common wombat chromosome/scaffold name"	"homologs"
"vursinus_homolog_chrom_start"	"Common wombat chromosome/scaffold start (bp)"	"homologs"
"vursinus_homolog_chrom_end"	"Common wombat chromosome/scaffold end (bp)"	"homologs"
"vursinus_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"vursinus_homolog_subtype"	"Last common ancestor with Common wombat"	"homologs"
"vursinus_homolog_orthology_type"	"Common wombat homology type"	"homologs"
"vursinus_homolog_perc_id"	"%id. target Common wombat gene identical to query gene"	"homologs"
"vursinus_homolog_perc_id_r1"	"%id. query gene identical to target Common wombat gene"	"homologs"
"vursinus_homolog_goc_score"	"Common wombat Gene-order conservation score"	"homologs"
"vursinus_homolog_orthology_confidence"	"Common wombat orthology confidence [0 low, 1 high]"	"homologs"
"pcoquereli_homolog_ensembl_gene"	"Coquerel's sifaka gene stable ID"	"homologs"
"pcoquereli_homolog_associated_gene_name"	"Coquerel's sifaka gene name"	"homologs"
"pcoquereli_homolog_ensembl_peptide"	"Coquerel's sifaka protein or transcript stable ID"	"homologs"
"pcoquereli_homolog_chromosome"	"Coquerel's sifaka chromosome/scaffold name"	"homologs"
"pcoquereli_homolog_chrom_start"	"Coquerel's sifaka chromosome/scaffold start (bp)"	"homologs"
"pcoquereli_homolog_chrom_end"	"Coquerel's sifaka chromosome/scaffold end (bp)"	"homologs"
"pcoquereli_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"pcoquereli_homolog_subtype"	"Last common ancestor with Coquerel's sifaka"	"homologs"
"pcoquereli_homolog_orthology_type"	"Coquerel's sifaka homology type"	"homologs"
"pcoquereli_homolog_perc_id"	"%id. target Coquerel's sifaka gene identical to query gene"	"homologs"
"pcoquereli_homolog_perc_id_r1"	"%id. query gene identical to target Coquerel's sifaka gene"	"homologs"
"pcoquereli_homolog_goc_score"	"Coquerel's sifaka Gene-order conservation score"	"homologs"
"pcoquereli_homolog_orthology_confidence"	"Coquerel's sifaka orthology confidence [0 low, 1 high]"	"homologs"
"btaurus_homolog_ensembl_gene"	"Cow gene stable ID"	"homologs"
"btaurus_homolog_associated_gene_name"	"Cow gene name"	"homologs"
"btaurus_homolog_ensembl_peptide"	"Cow protein or transcript stable ID"	"homologs"
"btaurus_homolog_chromosome"	"Cow chromosome/scaffold name"	"homologs"
"btaurus_homolog_chrom_start"	"Cow chromosome/scaffold start (bp)"	"homologs"
"btaurus_homolog_chrom_end"	"Cow chromosome/scaffold end (bp)"	"homologs"
"btaurus_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"btaurus_homolog_subtype"	"Last common ancestor with Cow"	"homologs"
"btaurus_homolog_orthology_type"	"Cow homology type"	"homologs"
"btaurus_homolog_perc_id"	"%id. target Cow gene identical to query gene"	"homologs"
"btaurus_homolog_perc_id_r1"	"%id. query gene identical to target Cow gene"	"homologs"
"btaurus_homolog_goc_score"	"Cow Gene-order conservation score"	"homologs"
"btaurus_homolog_wga_coverage"	"Cow Whole-genome alignment coverage"	"homologs"
"btaurus_homolog_orthology_confidence"	"Cow orthology confidence [0 low, 1 high]"	"homologs"
"mfascicularis_homolog_ensembl_gene"	"Crab-eating macaque gene stable ID"	"homologs"
"mfascicularis_homolog_associated_gene_name"	"Crab-eating macaque gene name"	"homologs"
"mfascicularis_homolog_ensembl_peptide"	"Crab-eating macaque protein or transcript stable ID"	"homologs"
"mfascicularis_homolog_chromosome"	"Crab-eating macaque chromosome/scaffold name"	"homologs"
"mfascicularis_homolog_chrom_start"	"Crab-eating macaque chromosome/scaffold start (bp)"	"homologs"
"mfascicularis_homolog_chrom_end"	"Crab-eating macaque chromosome/scaffold end (bp)"	"homologs"
"mfascicularis_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"mfascicularis_homolog_subtype"	"Last common ancestor with Crab-eating macaque"	"homologs"
"mfascicularis_homolog_orthology_type"	"Crab-eating macaque homology type"	"homologs"
"mfascicularis_homolog_perc_id"	"%id. target Crab-eating macaque gene identical to query gene"	"homologs"
"mfascicularis_homolog_perc_id_r1"	"%id. query gene identical to target Crab-eating macaque gene"	"homologs"
"mfascicularis_homolog_goc_score"	"Crab-eating macaque Gene-order conservation score"	"homologs"
"mfascicularis_homolog_wga_coverage"	"Crab-eating macaque Whole-genome alignment coverage"	"homologs"
"mfascicularis_homolog_orthology_confidence"	"Crab-eating macaque orthology confidence [0 low, 1 high]"	"homologs"
"odegus_homolog_ensembl_gene"	"Degu gene stable ID"	"homologs"
"odegus_homolog_associated_gene_name"	"Degu gene name"	"homologs"
"odegus_homolog_ensembl_peptide"	"Degu protein or transcript stable ID"	"homologs"
"odegus_homolog_chromosome"	"Degu chromosome/scaffold name"	"homologs"
"odegus_homolog_chrom_start"	"Degu chromosome/scaffold start (bp)"	"homologs"
"odegus_homolog_chrom_end"	"Degu chromosome/scaffold end (bp)"	"homologs"
"odegus_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"odegus_homolog_subtype"	"Last common ancestor with Degu"	"homologs"
"odegus_homolog_orthology_type"	"Degu homology type"	"homologs"
"odegus_homolog_perc_id"	"%id. target Degu gene identical to query gene"	"homologs"
"odegus_homolog_perc_id_r1"	"%id. query gene identical to target Degu gene"	"homologs"
"odegus_homolog_goc_score"	"Degu Gene-order conservation score"	"homologs"
"odegus_homolog_wga_coverage"	"Degu Whole-genome alignment coverage"	"homologs"
"odegus_homolog_orthology_confidence"	"Degu orthology confidence [0 low, 1 high]"	"homologs"
"dclupeoides_homolog_ensembl_gene"	"Denticle herring gene stable ID"	"homologs"
"dclupeoides_homolog_associated_gene_name"	"Denticle herring gene name"	"homologs"
"dclupeoides_homolog_ensembl_peptide"	"Denticle herring protein or transcript stable ID"	"homologs"
"dclupeoides_homolog_chromosome"	"Denticle herring chromosome/scaffold name"	"homologs"
"dclupeoides_homolog_chrom_start"	"Denticle herring chromosome/scaffold start (bp)"	"homologs"
"dclupeoides_homolog_chrom_end"	"Denticle herring chromosome/scaffold end (bp)"	"homologs"
"dclupeoides_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"dclupeoides_homolog_subtype"	"Last common ancestor with Denticle herring"	"homologs"
"dclupeoides_homolog_orthology_type"	"Denticle herring homology type"	"homologs"
"dclupeoides_homolog_perc_id"	"%id. target Denticle herring gene identical to query gene"	"homologs"
"dclupeoides_homolog_perc_id_r1"	"%id. query gene identical to target Denticle herring gene"	"homologs"
"dclupeoides_homolog_goc_score"	"Denticle herring Gene-order conservation score"	"homologs"
"dclupeoides_homolog_orthology_confidence"	"Denticle herring orthology confidence [0 low, 1 high]"	"homologs"
"cldingo_homolog_ensembl_gene"	"Dingo gene stable ID"	"homologs"
"cldingo_homolog_associated_gene_name"	"Dingo gene name"	"homologs"
"cldingo_homolog_ensembl_peptide"	"Dingo protein or transcript stable ID"	"homologs"
"cldingo_homolog_chromosome"	"Dingo chromosome/scaffold name"	"homologs"
"cldingo_homolog_chrom_start"	"Dingo chromosome/scaffold start (bp)"	"homologs"
"cldingo_homolog_chrom_end"	"Dingo chromosome/scaffold end (bp)"	"homologs"
"cldingo_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"cldingo_homolog_subtype"	"Last common ancestor with Dingo"	"homologs"
"cldingo_homolog_orthology_type"	"Dingo homology type"	"homologs"
"cldingo_homolog_perc_id"	"%id. target Dingo gene identical to query gene"	"homologs"
"cldingo_homolog_perc_id_r1"	"%id. query gene identical to target Dingo gene"	"homologs"
"cldingo_homolog_goc_score"	"Dingo Gene-order conservation score"	"homologs"
"cldingo_homolog_wga_coverage"	"Dingo Whole-genome alignment coverage"	"homologs"
"cldingo_homolog_orthology_confidence"	"Dingo orthology confidence [0 low, 1 high]"	"homologs"
"clfamiliaris_homolog_ensembl_gene"	"Dog gene stable ID"	"homologs"
"clfamiliaris_homolog_associated_gene_name"	"Dog gene name"	"homologs"
"clfamiliaris_homolog_ensembl_peptide"	"Dog protein or transcript stable ID"	"homologs"
"clfamiliaris_homolog_chromosome"	"Dog chromosome/scaffold name"	"homologs"
"clfamiliaris_homolog_chrom_start"	"Dog chromosome/scaffold start (bp)"	"homologs"
"clfamiliaris_homolog_chrom_end"	"Dog chromosome/scaffold end (bp)"	"homologs"
"clfamiliaris_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"clfamiliaris_homolog_subtype"	"Last common ancestor with Dog"	"homologs"
"clfamiliaris_homolog_orthology_type"	"Dog homology type"	"homologs"
"clfamiliaris_homolog_perc_id"	"%id. target Dog gene identical to query gene"	"homologs"
"clfamiliaris_homolog_perc_id_r1"	"%id. query gene identical to target Dog gene"	"homologs"
"clfamiliaris_homolog_goc_score"	"Dog Gene-order conservation score"	"homologs"
"clfamiliaris_homolog_wga_coverage"	"Dog Whole-genome alignment coverage"	"homologs"
"clfamiliaris_homolog_orthology_confidence"	"Dog orthology confidence [0 low, 1 high]"	"homologs"
"ttruncatus_homolog_ensembl_gene"	"Dolphin gene stable ID"	"homologs"
"ttruncatus_homolog_associated_gene_name"	"Dolphin gene name"	"homologs"
"ttruncatus_homolog_ensembl_peptide"	"Dolphin protein or transcript stable ID"	"homologs"
"ttruncatus_homolog_chromosome"	"Dolphin chromosome/scaffold name"	"homologs"
"ttruncatus_homolog_chrom_start"	"Dolphin chromosome/scaffold start (bp)"	"homologs"
"ttruncatus_homolog_chrom_end"	"Dolphin chromosome/scaffold end (bp)"	"homologs"
"ttruncatus_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"ttruncatus_homolog_subtype"	"Last common ancestor with Dolphin"	"homologs"
"ttruncatus_homolog_orthology_type"	"Dolphin homology type"	"homologs"
"ttruncatus_homolog_perc_id"	"%id. target Dolphin gene identical to query gene"	"homologs"
"ttruncatus_homolog_perc_id_r1"	"%id. query gene identical to target Dolphin gene"	"homologs"
"ttruncatus_homolog_goc_score"	"Dolphin Gene-order conservation score"	"homologs"
"ttruncatus_homolog_orthology_confidence"	"Dolphin orthology confidence [0 low, 1 high]"	"homologs"
"bgrunniens_homolog_ensembl_gene"	"Domestic yak gene stable ID"	"homologs"
"bgrunniens_homolog_associated_gene_name"	"Domestic yak gene name"	"homologs"
"bgrunniens_homolog_ensembl_peptide"	"Domestic yak protein or transcript stable ID"	"homologs"
"bgrunniens_homolog_chromosome"	"Domestic yak chromosome/scaffold name"	"homologs"
"bgrunniens_homolog_chrom_start"	"Domestic yak chromosome/scaffold start (bp)"	"homologs"
"bgrunniens_homolog_chrom_end"	"Domestic yak chromosome/scaffold end (bp)"	"homologs"
"bgrunniens_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"bgrunniens_homolog_subtype"	"Last common ancestor with Domestic yak"	"homologs"
"bgrunniens_homolog_orthology_type"	"Domestic yak homology type"	"homologs"
"bgrunniens_homolog_perc_id"	"%id. target Domestic yak gene identical to query gene"	"homologs"
"bgrunniens_homolog_perc_id_r1"	"%id. query gene identical to target Domestic yak gene"	"homologs"
"bgrunniens_homolog_goc_score"	"Domestic yak Gene-order conservation score"	"homologs"
"bgrunniens_homolog_wga_coverage"	"Domestic yak Whole-genome alignment coverage"	"homologs"
"bgrunniens_homolog_orthology_confidence"	"Domestic yak orthology confidence [0 low, 1 high]"	"homologs"
"easinus_homolog_ensembl_gene"	"Donkey gene stable ID"	"homologs"
"easinus_homolog_associated_gene_name"	"Donkey gene name"	"homologs"
"easinus_homolog_ensembl_peptide"	"Donkey protein or transcript stable ID"	"homologs"
"easinus_homolog_chromosome"	"Donkey chromosome/scaffold name"	"homologs"
"easinus_homolog_chrom_start"	"Donkey chromosome/scaffold start (bp)"	"homologs"
"easinus_homolog_chrom_end"	"Donkey chromosome/scaffold end (bp)"	"homologs"
"easinus_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"easinus_homolog_subtype"	"Last common ancestor with Donkey"	"homologs"
"easinus_homolog_orthology_type"	"Donkey homology type"	"homologs"
"easinus_homolog_perc_id"	"%id. target Donkey gene identical to query gene"	"homologs"
"easinus_homolog_perc_id_r1"	"%id. query gene identical to target Donkey gene"	"homologs"
"easinus_homolog_goc_score"	"Donkey Gene-order conservation score"	"homologs"
"easinus_homolog_orthology_confidence"	"Donkey orthology confidence [0 low, 1 high]"	"homologs"
"mleucophaeus_homolog_ensembl_gene"	"Drill gene stable ID"	"homologs"
"mleucophaeus_homolog_associated_gene_name"	"Drill gene name"	"homologs"
"mleucophaeus_homolog_ensembl_peptide"	"Drill protein or transcript stable ID"	"homologs"
"mleucophaeus_homolog_chromosome"	"Drill chromosome/scaffold name"	"homologs"
"mleucophaeus_homolog_chrom_start"	"Drill chromosome/scaffold start (bp)"	"homologs"
"mleucophaeus_homolog_chrom_end"	"Drill chromosome/scaffold end (bp)"	"homologs"
"mleucophaeus_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"mleucophaeus_homolog_subtype"	"Last common ancestor with Drill"	"homologs"
"mleucophaeus_homolog_orthology_type"	"Drill homology type"	"homologs"
"mleucophaeus_homolog_perc_id"	"%id. target Drill gene identical to query gene"	"homologs"
"mleucophaeus_homolog_perc_id_r1"	"%id. query gene identical to target Drill gene"	"homologs"
"mleucophaeus_homolog_goc_score"	"Drill Gene-order conservation score"	"homologs"
"mleucophaeus_homolog_orthology_confidence"	"Drill orthology confidence [0 low, 1 high]"	"homologs"
"dmelanogaster_homolog_ensembl_gene"	"Drosophila melanogaster gene stable ID"	"homologs"
"dmelanogaster_homolog_associated_gene_name"	"Drosophila melanogaster gene name"	"homologs"
"dmelanogaster_homolog_ensembl_peptide"	"Drosophila melanogaster protein or transcript stable ID"	"homologs"
"dmelanogaster_homolog_chromosome"	"Drosophila melanogaster chromosome/scaffold name"	"homologs"
"dmelanogaster_homolog_chrom_start"	"Drosophila melanogaster chromosome/scaffold start (bp)"	"homologs"
"dmelanogaster_homolog_chrom_end"	"Drosophila melanogaster chromosome/scaffold end (bp)"	"homologs"
"dmelanogaster_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"dmelanogaster_homolog_subtype"	"Last common ancestor with Drosophila melanogaster"	"homologs"
"dmelanogaster_homolog_orthology_type"	"Drosophila melanogaster homology type"	"homologs"
"dmelanogaster_homolog_perc_id"	"%id. target Drosophila melanogaster gene identical to query gene"	"homologs"
"dmelanogaster_homolog_perc_id_r1"	"%id. query gene identical to target Drosophila melanogaster gene"	"homologs"
"dmelanogaster_homolog_orthology_confidence"	"Drosophila melanogaster orthology confidence [0 low, 1 high]"	"homologs"
"applatyrhynchos_homolog_ensembl_gene"	"Duck gene stable ID"	"homologs"
"applatyrhynchos_homolog_associated_gene_name"	"Duck gene name"	"homologs"
"applatyrhynchos_homolog_ensembl_peptide"	"Duck protein or transcript stable ID"	"homologs"
"applatyrhynchos_homolog_chromosome"	"Duck chromosome/scaffold name"	"homologs"
"applatyrhynchos_homolog_chrom_start"	"Duck chromosome/scaffold start (bp)"	"homologs"
"applatyrhynchos_homolog_chrom_end"	"Duck chromosome/scaffold end (bp)"	"homologs"
"applatyrhynchos_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"applatyrhynchos_homolog_subtype"	"Last common ancestor with Duck"	"homologs"
"applatyrhynchos_homolog_orthology_type"	"Duck homology type"	"homologs"
"applatyrhynchos_homolog_perc_id"	"%id. target Duck gene identical to query gene"	"homologs"
"applatyrhynchos_homolog_perc_id_r1"	"%id. query gene identical to target Duck gene"	"homologs"
"applatyrhynchos_homolog_goc_score"	"Duck Gene-order conservation score"	"homologs"
"applatyrhynchos_homolog_orthology_confidence"	"Duck orthology confidence [0 low, 1 high]"	"homologs"
"ptextilis_homolog_ensembl_gene"	"Eastern brown snake gene stable ID"	"homologs"
"ptextilis_homolog_associated_gene_name"	"Eastern brown snake gene name"	"homologs"
